No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
1.23, 2.35529, -0.129975,2.46706,9.64471, 0.129975,-2.46706
1.24, 2.35399, -0.105305,2.46901,9.64601, 0.105305,-2.46901
1.25, 2.35294, -0.0806145,2.47059,9.64706, 0.0806145,-2.47059
1.26, 2.35214, -0.0559087,2.4718,9.64786, 0.0559087,-2.4718
1.27, 2.35158, -0.0311907,2.47264,9.64842, 0.0311907,-2.47264
1.28, 2.35126, -0.00646434,2.4731,9.64874, 0.00646433,-2.4731
1.29, 2.3512, 0.0182667,2.4732,9.6488, -0.0182667,-2.4732
1.3, 2.35138, 0.0429987,2.47293,9.64862, -0.0429987,-2.47293
1.31, 2.35181, 0.067728,2.47228,9.64819, -0.067728,-2.47228
1.32, 2.35249, 0.0924508,2.47127,9.64751, -0.0924508,-2.47127
1.33, 2.35341, 0.117163,2.46988,9.64659, -0.117163,-2.46988
1.34, 2.35459, 0.141862,2.46812,9.64541, -0.141862,-2.46812
1.35, 2.356, 0.166543,2.46599,9.644, -0.166543,-2.46599
1.36, 2.35767, 0.191203,2.4635,9.64233, -0.191203,-2.4635
1.37, 2.35958, 0.215838,2.46063,9.64042, -0.215838,-2.46063
1.38, 2.36174, 0.240445,2.45739,9.63826, -0.240445,-2.45739
1.39, 2.36414, 0.265019,2.45378,9.63586, -0.265018,-2.45378
1.4, 2.36679, 0.289556,2.44981,9.63321, -0.289556,-2.44981
1.41, 2.36969, 0.314054,2.44546,9.63031, -0.314054,-2.44547
1.42, 2.37283, 0.338509,2.44075,9.62717, -0.338509,-2.44075
1.43, 2.37622, 0.362917,2.43568,9.62378, -0.362917,-2.43568
1.44, 2.37985, 0.387273,2.43023,9.62015, -0.387273,-2.43023
1.45, 2.38372, 0.411576,2.42442,9.61628, -0.411576,-2.42442
1.46, 2.38783, 0.43582,2.41825,9.61217, -0.43582,-2.41825
1.47, 2.39219, 0.460002,2.41171,9.60781, -0.460002,-2.41171
1.48, 2.39679, 0.48412,2.40481,9.60321, -0.48412,-2.40481
1.49, 2.40163, 0.508168,2.39755,9.59837, -0.508168,-2.39755
1.5, 2.40671, 0.532143,2.38993,9.59329, -0.532143,-2.38993
1.51, 2.41204, 0.556042,2.38195,9.58796, -0.556042,-2.38195
1.52, 2.4176, 0.579862,2.37361,9.5824, -0.579862,-2.3736
1.53, 2.4234, 0.603598,2.36491,9.5766, -0.603598,-2.36491
1.54, 2.42943, 0.627247,2.35585,9.57057, -0.627247,-2.35585
1.55, 2.4357, 0.650806,2.34644,9.5643, -0.650806,-2.34645
1.56, 2.44221, 0.67427,2.33668,9.55779, -0.67427,-2.33668
1.57, 2.44895, 0.697637,2.32657,9.55105, -0.697637,-2.32657
1.58, 2.45593, 0.720902,2.3161,9.54407, -0.720902,-2.3161
1.59, 2.46314, 0.744064,2.30529,9.53686, -0.744064,-2.30529
1.6, 2.47058, 0.767116,2.29413,9.52942, -0.767116,-2.29413
1.61, 2.47825, 0.790058,2.28262,9.52175, -0.790058,-2.28262
1.62, 2.48615, 0.812884,2.27077,9.51385, -0.812884,-2.27077
1.63, 2.49428, 0.835592,2.25858,9.50572, -0.835592,-2.25858
1.64, 2.50264, 0.858177,2.24604,9.49736, -0.858177,-2.24604
1.65, 2.51122, 0.880638,2.23317,9.48878, -0.880638,-2.23317
1.66, 2.52003, 0.90297,2.21996,9.47997, -0.90297,-2.21996
1.67, 2.52905, 0.925169,2.20642,9.47095, -0.925169,-2.20642
1.68, 2.53831, 0.947233,2.19254,9.46169, -0.947233,-2.19254
1.69, 2.54778, 0.969159,2.17833,9.45222, -0.969159,-2.17833
1.7, 2.55747, 0.990942,2.16379,9.44253, -0.990942,-2.16379
1.71, 2.56738, 1.01258,2.14893,9.43262, -1.01258,-2.14893
1.72, 2.57751, 1.03407,2.13374,9.42249, -1.03407,-2.13374
1.73, 2.58785, 1.05541,2.11823,9.41215, -1.05541,-2.11823
1.74, 2.5984, 1.07659,2.1024,9.4016, -1.07659,-2.1024
1.75, 2.60917, 1.09761,2.08625,9.39083, -1.09761,-2.08625
1.76, 2.62014, 1.11848,2.06979,9.37986, -1.11848,-2.06979
1.77, 2.63133, 1.13917,2.05301,9.36867, -1.13917,-2.05301
1.78, 2.64272, 1.1597,2.03592,9.35728, -1.1597,-2.03592
1.79, 2.65432, 1.18006,2.01853,9.34568, -1.18006,-2.01853
1.8, 2.66612, 1.20025,2.00083,9.33388, -1.20025,-2.00082
1.81, 2.67812, 1.22026,1.98282,9.32188, -1.22026,-1.98282
1.82, 2.69032, 1.24008,1.96452,9.30968, -1.24008,-1.96452
1.83, 2.70272, 1.25973,1.94592,9.29728, -1.25973,-1.94592
1.84, 2.71532, 1.27919,1.92702,9.28468, -1.27919,-1.92702
1.85, 2.72811, 1.29846,1.90783,9.27189, -1.29846,-1.90783
1.86, 2.7411, 1.31754,1.88836,9.2589, -1.31754,-1.88836
1.87, 2.75427, 1.33642,1.86859,9.24573, -1.33642,-1.86859
1.88, 2.76764, 1.35511,1.84855,9.23236, -1.35511,-1.84855
1.89, 2.78119, 1.37359,1.82822,9.21881, -1.37359,-1.82822
1.9, 2.79492, 1.39187,1.80762,9.20508, -1.39187,-1.80762
1.91, 2.80884, 1.40995,1.78674,9.19116, -1.40995,-1.78674
1.92, 2.82294, 1.42782,1.76559,9.17706, -1.42782,-1.76559
1.93, 2.83722, 1.44547,1.74417,9.16278, -1.44547,-1.74417
1.94, 2.85167, 1.46292,1.72249,9.14833, -1.46292,-1.72249
1.95, 2.8663, 1.48014,1.70055,9.1337, -1.48014,-1.70054
1.96, 2.8811, 1.49715,1.67834,9.1189, -1.49715,-1.67834
1.97, 2.89608, 1.51393,1.65589,9.10392, -1.51393,-1.65589
1.98, 2.91122, 1.53049,1.63318,9.08878, -1.53049,-1.63318
1.99, 2.92652, 1.54682,1.61022,9.07348, -1.54682,-1.61022
2, 2.94199, 1.56292,1.58702,9.05801, -1.56292,-1.58702
2.01, 2.95762, 1.57879,1.56357,9.04238, -1.57879,-1.56357
2.02, 2.97341, 1.59443,1.53989,9.02659, -1.59443,-1.53989
2.03, 2.98935, 1.60983,1.51598,9.01065, -1.60983,-1.51598
2.04, 3.00545, 1.62499,1.49183,8.99455, -1.62499,-1.49183
2.05, 3.0217, 1.63991,1.46745,8.9783, -1.63991,-1.46745
2.06, 3.0381, 1.65458,1.44285,8.9619, -1.65458,-1.44285
2.07, 3.05464, 1.66901,1.41804,8.94536, -1.66901,-1.41804
2.08, 3.07133, 1.68319,1.393,8.92867, -1.68319,-1.393
2.09, 3.08816, 1.69712,1.36775,8.91184, -1.69712,-1.36775
2.1, 3.10514, 1.7108,1.3423,8.89486, -1.7108,-1.3423
2.11, 3.12224, 1.72422,1.31663,8.87776, -1.72422,-1.31663
2.12, 3.13949, 1.73739,1.29077,8.86051, -1.73739,-1.29077
2.13, 3.15686, 1.75029,1.26471,8.84314, -1.75029,-1.26471
2.14, 3.17436, 1.76294,1.23846,8.82564, -1.76294,-1.23846
2.15, 3.19199, 1.77532,1.21201,8.80801, -1.77532,-1.21201
2.16, 3.20975, 1.78744,1.18538,8.79025, -1.78744,-1.18538
2.17, 3.22762, 1.7993,1.15857,8.77238, -1.7993,-1.15857
2.18, 3.24561, 1.81088,1.13158,8.75439, -1.81088,-1.13158
2.19, 3.26372, 1.8222,1.10442,8.73628, -1.8222,-1.10442
2.2, 3.28194, 1.83324,1.07708,8.71806, -1.83324,-1.07708
2.21, 3.30028, 1.84402,1.04959,8.69972, -1.84402,-1.04959
2.22, 3.31872, 1.85451,1.02193,8.68128, -1.85451,-1.02193
2.23, 3.33726, 1.86473,0.994108,8.66274, -1.86473,-0.994108
2.24, 3.35591, 1.87467,0.966137,8.64409, -1.87467,-0.966137
2.25, 3.37466, 1.88433,0.938017,8.62534, -1.88433,-0.938016
2.26, 3.3935, 1.89371,0.909752,8.6065, -1.89371,-0.909752
2.27, 3.41244, 1.90281,0.881346,8.58756, -1.90281,-0.881347
2.28, 3.43146, 1.91162,0.852804,8.56854, -1.91162,-0.852804
2.29, 3.45058, 1.92015,0.824129,8.54942, -1.92015,-0.824129
2.3, 3.46978, 1.92839,0.795327,8.53022, -1.92839,-0.795327
2.31, 3.48907, 1.93635,0.766402,8.51093, -1.93635,-0.766401
