No iterations: 20000
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0.0194, 0.980632, -0.995077,0.509757,2.01937, 0.995077,-0.509756
0.0195, 0.980532, -0.995026,0.512378,2.01947, 0.995026,-0.512379
0.0196, 0.980433, -0.994975,0.514996,2.01957, 0.994975,-0.514996
0.0197, 0.980333, -0.994923,0.517613,2.01967, 0.994923,-0.517612
0.0198, 0.980234, -0.994871,0.520234,2.01977, 0.994871,-0.520235
0.0199, 0.980134, -0.994819,0.522852,2.01987, 0.994819,-0.522852
0.02, 0.980035, -0.994767,0.525469,2.01997, 0.994767,-0.525469
0.0201, 0.979935, -0.994714,0.528088,2.02006, 0.994714,-0.528085
0.0202, 0.979836, -0.994662,0.530705,2.02016, 0.994662,-0.530708
0.0203, 0.979736, -0.994609,0.533324,2.02026, 0.994609,-0.533325
0.0204, 0.979637, -0.994555,0.535941,2.02036, 0.994555,-0.535941
0.0205, 0.979537, -0.994502,0.538558,2.02046, 0.994502,-0.538558
0.0206, 0.979438, -0.994448,0.541175,2.02056, 0.994448,-0.541175
0.0207, 0.979338, -0.994394,0.543792,2.02066, 0.994394,-0.543791
0.0208, 0.979239, -0.994339,0.546411,2.02076, 0.994339,-0.546408
0.0209, 0.979139, -0.994285,0.549028,2.02086, 0.994285,-0.549025
0.021, 0.97904, -0.99423,0.551644,2.02096, 0.99423,-0.551648
0.0211, 0.978941, -0.994175,0.554261,2.02106, 0.994175,-0.554264
0.0212, 0.978841, -0.994119,0.556878,2.02116, 0.994119,-0.556881
0.0213, 0.978742, -0.994063,0.559494,2.02126, 0.994063,-0.559491
0.0214, 0.978642, -0.994008,0.562111,2.02136, 0.994008,-0.562108
0.0215, 0.978543, -0.993951,0.564725,2.02146, 0.993951,-0.564724
0.0216, 0.978444, -0.993895,0.567342,2.02156, 0.993895,-0.567341
0.0217, 0.978344, -0.993838,0.569958,2.02166, 0.993838,-0.569958
0.0218, 0.978245, -0.993781,0.572574,2.02176, 0.993781,-0.572574
0.0219, 0.978145, -0.993724,0.57519,2.02185, 0.993724,-0.575191
0.022, 0.978046, -0.993666,0.577805,2.02195, 0.993666,-0.577808
0.0221, 0.977947, -0.993609,0.580419,2.02205, 0.993609,-0.580418
0.0222, 0.977847, -0.993551,0.583035,2.02215, 0.993551,-0.583035
0.0223, 0.977748, -0.993492,0.585651,2.02225, 0.993492,-0.585651
0.0224, 0.977649, -0.993434,0.588265,2.02235, 0.993434,-0.588268
0.0225, 0.977549, -0.993375,0.590879,2.02245, 0.993375,-0.590878
0.0226, 0.97745, -0.993316,0.593494,2.02255, 0.993316,-0.593495
0.0227, 0.977351, -0.993256,0.596108,2.02265, 0.993256,-0.596105
0.0228, 0.977251, -0.993197,0.598722,2.02275, 0.993197,-0.598722
0.0229, 0.977152, -0.993137,0.601338,2.02285, 0.993137,-0.601339
0.023, 0.977053, -0.993077,0.60395,2.02295, 0.993077,-0.603949
0.0231, 0.976953, -0.993016,0.606565,2.02305, 0.993016,-0.606566
0.0232, 0.976854, -0.992956,0.609177,2.02315, 0.992956,-0.609176
0.0233, 0.976755, -0.992895,0.611792,2.02325, 0.992895,-0.611793
0.0234, 0.976655, -0.992834,0.614404,2.02334, 0.992834,-0.614403
0.0235, 0.976556, -0.992772,0.617017,2.02344, 0.992772,-0.61702
0.0236, 0.976457, -0.99271,0.61963,2.02354, 0.99271,-0.61963
0.0237, 0.976358, -0.992649,0.622241,2.02364, 0.992649,-0.62224
0.0238, 0.976258, -0.992586,0.624856,2.02374, 0.992586,-0.624857
0.0239, 0.976159, -0.992524,0.627467,2.02384, 0.992524,-0.627467
0.024, 0.97606, -0.992461,0.630079,2.02394, 0.992461,-0.630078
0.0241, 0.975961, -0.992398,0.632691,2.02404, 0.992398,-0.632694
0.0242, 0.975861, -0.992335,0.635304,2.02414, 0.992335,-0.635305
0.0243, 0.975762, -0.992271,0.637915,2.02424, 0.992271,-0.637915
0.0244, 0.975663, -0.992207,0.640526,2.02434, 0.992207,-0.640526
0.0245, 0.975564, -0.992143,0.643139,2.02444, 0.992143,-0.643136
0.0246, 0.975464, -0.992079,0.645749,2.02454, 0.992079,-0.645753
0.0247, 0.975365, -0.992015,0.648362,2.02463, 0.992015,-0.648363
0.0248, 0.975266, -0.99195,0.650973,2.02473, 0.99195,-0.650973
0.0249, 0.975167, -0.991885,0.653583,2.02483, 0.991885,-0.653584
0.025, 0.975068, -0.991819,0.656193,2.02493, 0.991819,-0.656194
0.0251, 0.974968, -0.991754,0.658804,2.02503, 0.991754,-0.658804
0.0252, 0.974869, -0.991688,0.661414,2.02513, 0.991688,-0.661415
0.0253, 0.97477, -0.991622,0.664024,2.02523, 0.991622,-0.664025
0.0254, 0.974671, -0.991555,0.666632,2.02533, 0.991555,-0.666636
0.0255, 0.974572, -0.991489,0.669243,2.02543, 0.991489,-0.669246
0.0256, 0.974473, -0.991422,0.671851,2.02553, 0.991422,-0.67185
0.0257, 0.974374, -0.991354,0.674461,2.02563, 0.991354,-0.67446
0.0258, 0.974274, -0.991287,0.677071,2.02573, 0.991287,-0.677071
0.0259, 0.974175, -0.991219,0.67968,2.02582, 0.991219,-0.679681
0.026, 0.974076, -0.991151,0.682288,2.02592, 0.991151,-0.682291
0.0261, 0.973977, -0.991083,0.684896,2.02602, 0.991083,-0.684896
0.0262, 0.973878, -0.991015,0.687506,2.02612, 0.991015,-0.687506
0.0263, 0.973779, -0.990946,0.690113,2.02622, 0.990946,-0.690116
0.0264, 0.97368, -0.990877,0.692721,2.02632, 0.990877,-0.69272
0.0265, 0.973581, -0.990808,0.69533,2.02642, 0.990808,-0.695331
0.0266, 0.973482, -0.990738,0.697938,2.02652, 0.990738,-0.697935
