No iterations: 800
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
1.14, 4.85906, 2.17523,-2.03859,6.18902, -0.175262,1.21647
1.15, 4.88082, 2.15484,-2.07122,6.18727, -0.163098,1.2191
1.16, 4.90236, 2.13413,-2.10355,6.18564, -0.150907,1.22154
1.17, 4.92371, 2.11309,-2.13556,6.18413, -0.138691,1.22381
1.18, 4.94484, 2.09174,-2.16725,6.18274, -0.126453,1.22589
1.19, 4.96575, 2.07006,-2.19863,6.18148, -0.114194,1.22778
1.2, 4.98645, 2.04808,-2.22968,6.18034, -0.101917,1.2295
1.21, 5.00693, 2.02578,-2.2604,6.17932, -0.0896216,1.23103
1.22, 5.02719, 2.00318,-2.29079,6.17842, -0.0773113,1.23237
1.23, 5.04722, 1.98027,-2.32084,6.17765, -0.0649876,1.23353
1.24, 5.06703, 1.95706,-2.35054,6.177, -0.0526523,1.2345
1.25, 5.0866, 1.93356,-2.3799,6.17647, -0.0403073,1.23529
1.26, 5.10593, 1.90976,-2.4089,6.17607, -0.0279543,1.2359
1.27, 5.12503, 1.88567,-2.43755,6.17579, -0.0155953,1.23632
1.28, 5.14389, 1.86129,-2.46583,6.17563, -0.00323217,1.23655
1.29, 5.1625, 1.83663,-2.49375,6.1756, 0.00913335,1.2366
1.3, 5.18087, 1.8117,-2.5213,6.17569, 0.0214994,1.23646
1.31, 5.19898, 1.78648,-2.54848,6.17591, 0.033864,1.23614
1.32, 5.21685, 1.761,-2.57527,6.17624, 0.0462254,1.23563
1.33, 5.23446, 1.73525,-2.60169,6.17671, 0.0585817,1.23494
1.34, 5.25181, 1.70923,-2.62772,6.17729, 0.0709311,1.23406
1.35, 5.2689, 1.68295,-2.65335,6.178, 0.0832717,1.233
1.36, 5.28573, 1.65642,-2.6786,6.17883, 0.0956017,1.23175
1.37, 5.3023, 1.62963,-2.70345,6.17979, 0.107919,1.23031
1.38, 5.31859, 1.6026,-2.72789,6.18087, 0.120222,1.22869
1.39, 5.33462, 1.57532,-2.75193,6.18207, 0.132509,1.22689
1.4, 5.35037, 1.5478,-2.77556,6.1834, 0.144778,1.2249
1.41, 5.36585, 1.52004,-2.79878,6.18485, 0.157027,1.22273
1.42, 5.38105, 1.49206,-2.82158,6.18642, 0.169255,1.22038
1.43, 5.39597, 1.46384,-2.84396,6.18811, 0.181458,1.21784
1.44, 5.41061, 1.4354,-2.86591,6.18992, 0.193637,1.21512
1.45, 5.42496, 1.40674,-2.88745,6.19186, 0.205788,1.21221
1.46, 5.43903, 1.37787,-2.90855,6.19392, 0.21791,1.20912
1.47, 5.45281, 1.34878,-2.92921,6.1961, 0.230001,1.20586
1.48, 5.4663, 1.31949,-2.94945,6.1984, 0.24206,1.20241
1.49, 5.47949, 1.29,-2.96924,6.20082, 0.254084,1.19878
1.5, 5.49239, 1.2603,-2.98859,6.20336, 0.266072,1.19496
1.51, 5.505, 1.23042,-3.00749,6.20602, 0.278021,1.19097
1.52, 5.5173, 1.20034,-3.02595,6.2088, 0.289931,1.1868
1.53, 5.5293, 1.17008,-3.04395,6.2117, 0.301799,1.18245
1.54, 5.541, 1.13964,-3.06151,6.21472, 0.313624,1.17793
1.55, 5.5524, 1.10903,-3.0786,6.21785, 0.325403,1.17322
1.56, 5.56349, 1.07824,-3.09524,6.22111, 0.337135,1.16834
1.57, 5.57427, 1.04729,-3.11141,6.22448, 0.348818,1.16328
1.58, 5.58475, 1.01618,-3.12712,6.22797, 0.360451,1.15805
1.59, 5.59491, 0.984904,-3.14236,6.23157, 0.372032,1.15265
1.6, 5.60476, 0.953481,-3.15714,6.23529, 0.383558,1.14706
1.61, 5.61429, 0.921909,-3.17144,6.23913, 0.395029,1.14131
1.62, 5.62351, 0.890195,-3.18527,6.24308, 0.406442,1.13539
1.63, 5.63241, 0.858342,-3.19862,6.24714, 0.417796,1.12929
1.64, 5.641, 0.826356,-3.21149,6.25132, 0.429089,1.12302
1.65, 5.64926, 0.794241,-3.22389,6.25561, 0.440319,1.11659
1.66, 5.6572, 0.762002,-3.2358,6.26001, 0.451485,1.10998
1.67, 5.66482, 0.729644,-3.24723,6.26453, 0.462585,1.10321
1.68, 5.67212, 0.697172,-3.25818,6.26915, 0.473617,1.09627
1.69, 5.67909, 0.66459,-3.26864,6.27389, 0.484579,1.08917
1.7, 5.68574, 0.631904,-3.2786,6.27874, 0.495471,1.0819
1.71, 5.69206, 0.599118,-3.28808,6.28369, 0.50629,1.07447
1.72, 5.69805, 0.566237,-3.29707,6.28875, 0.517035,1.06687
1.73, 5.70371, 0.533266,-3.30556,6.29392, 0.527703,1.05911
1.74, 5.70904, 0.50021,-3.31356,6.2992, 0.538295,1.0512
1.75, 5.71404, 0.467075,-3.32107,6.30458, 0.548807,1.04313
1.76, 5.71871, 0.433864,-3.32807,6.31007, 0.559238,1.03489
1.77, 5.72305, 0.400583,-3.33458,6.31566, 0.569587,1.0265
1.78, 5.72706, 0.367238,-3.34059,6.32136, 0.579852,1.01796
1.79, 5.73073, 0.333832,-3.3461,6.32716, 0.590031,1.00926
1.8, 5.73407, 0.300371,-3.3511,6.33306, 0.600124,1.00041
1.81, 5.73707, 0.26686,-3.35561,6.33906, 0.610128,0.991411
1.82, 5.73974, 0.233304,-3.35961,6.34516, 0.620042,0.982259
1.83, 5.74207, 0.199708,-3.36311,6.35136, 0.629865,0.972958
1.84, 5.74407, 0.166076,-3.36611,6.35766, 0.639594,0.96351
1.85, 5.74573, 0.132415,-3.3686,6.36406, 0.64923,0.953917
1.86, 5.74706, 0.0987294,-3.37059,6.37055, 0.658769,0.944178
1.87, 5.74804, 0.0650236,-3.37207,6.37714, 0.66821,0.934296
1.88, 5.74869, 0.0313029,-3.37304,6.38382, 0.677553,0.924273
1.89, 5.74901, -0.00242752,-3.37351,6.39059, 0.686796,0.91411
1.9, 5.74898, -0.0361626,-3.37347,6.39746, 0.695937,0.903808
1.91, 5.74862, -0.0698974,-3.37293,6.40442, 0.704975,0.893369
1.92, 5.74792, -0.103627,-3.37188,6.41147, 0.713909,0.882794
1.93, 5.74689, -0.137346,-3.37033,6.41861, 0.722737,0.872086
1.94, 5.74551, -0.171049,-3.36827,6.42584, 0.731458,0.861244
1.95, 5.7438, -0.204732,-3.3657,6.43315, 0.74007,0.850272
1.96, 5.74175, -0.238389,-3.36263,6.44055, 0.748573,0.839172
1.97, 5.73937, -0.272015,-3.35906,6.44804, 0.756965,0.827943
