No iterations: 900
Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2), Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
1.04, 4.53733, 2.34369,-1.24479,6.56409, 5.84799,0.523087
1.05, 4.56076, 2.33124,-1.27292,6.62257, 5.85322,0.452911
1.06, 4.58408, 2.31851,-1.30089,6.68111, 5.85775,0.382673
1.07, 4.60726, 2.3055,-1.32871,6.73968, 5.86157,0.31238
1.08, 4.63032, 2.29222,-1.35638,6.7983, 5.8647,0.242041
1.09, 4.65324, 2.27865,-1.38389,6.85695, 5.86712,0.171665
1.1, 4.67603, 2.26481,-1.41123,6.91562, 5.86883,0.101259
1.11, 4.69867, 2.2507,-1.43841,6.97431, 5.86985,0.0308332
1.12, 4.72118, 2.23632,-1.46542,7.033, 5.87015,-0.0396051
1.13, 4.74354, 2.22166,-1.49225,7.09171, 5.86976,-0.110047
1.14, 4.76576, 2.20674,-1.51891,7.1504, 5.86866,-0.180484
1.15, 4.78783, 2.19155,-1.54539,7.20909, 5.86685,-0.250908
1.16, 4.80974, 2.1761,-1.57169,7.26776, 5.86434,-0.32131
1.17, 4.8315, 2.16038,-1.5978,7.3264, 5.86113,-0.391682
1.18, 4.85311, 2.1444,-1.62373,7.38501, 5.85721,-0.462016
1.19, 4.87455, 2.12816,-1.64946,7.44359, 5.85259,-0.532302
1.2, 4.89583, 2.11167,-1.675,7.50211, 5.84727,-0.602533
1.21, 4.91695, 2.09492,-1.70034,7.56058, 5.84125,-0.6727
1.22, 4.9379, 2.07792,-1.72548,7.619, 5.83452,-0.742795
1.23, 4.95868, 2.06066,-1.75041,7.67734, 5.82709,-0.81281
1.24, 4.97929, 2.04316,-1.77514,7.73561, 5.81896,-0.882735
1.25, 4.99972, 2.02541,-1.79966,7.7938, 5.81013,-0.952562
1.26, 5.01997, 2.00741,-1.82397,7.8519, 5.80061,-1.02228
1.27, 5.04004, 1.98917,-1.84805,7.90991, 5.79039,-1.09189
1.28, 5.05994, 1.97069,-1.87192,7.96781, 5.77947,-1.16138
1.29, 5.07964, 1.95197,-1.89557,8.02561, 5.76785,-1.23073
1.3, 5.09916, 1.93301,-1.919,8.08329, 5.75555,-1.29994
1.31, 5.11849, 1.91382,-1.94219,8.14084, 5.74255,-1.36901
1.32, 5.13763, 1.8944,-1.96516,8.19827, 5.72886,-1.43792
1.33, 5.15658, 1.87475,-1.98789,8.25556, 5.71448,-1.50667
1.34, 5.17532, 1.85487,-2.01039,8.3127, 5.69941,-1.57524
1.35, 5.19387, 1.83477,-2.03265,8.36969, 5.68366,-1.64363
1.36, 5.21222, 1.81444,-2.05466,8.42653, 5.66722,-1.71184
1.37, 5.23036, 1.7939,-2.07644,8.4832, 5.6501,-1.77984
1.38, 5.2483, 1.77313,-2.09796,8.5397, 5.63231,-1.84765
1.39, 5.26603, 1.75215,-2.11924,8.59603, 5.61383,-1.91523
1.4, 5.28356, 1.73096,-2.14027,8.65217, 5.59468,-1.9826
1.41, 5.30087, 1.70956,-2.16104,8.70811, 5.57485,-2.04974
1.42, 5.31796, 1.68795,-2.18155,8.76386, 5.55435,-2.11663
1.43, 5.33484, 1.66613,-2.20181,8.8194, 5.53319,-2.18329
1.44, 5.3515, 1.64411,-2.2218,8.87474, 5.51135,-2.24968
1.45, 5.36794, 1.62189,-2.24153,8.92985, 5.48886,-2.31582
1.46, 5.38416, 1.59948,-2.26099,8.98474, 5.4657,-2.38169
1.47, 5.40016, 1.57687,-2.28019,9.0394, 5.44188,-2.44728
1.48, 5.41593, 1.55407,-2.29911,9.09381, 5.41741,-2.51258
1.49, 5.43147, 1.53108,-2.31776,9.14799, 5.39228,-2.57759
1.5, 5.44678, 1.5079,-2.33613,9.20191, 5.36651,-2.64229
1.51, 5.46186, 1.48454,-2.35423,9.25558, 5.34008,-2.70669
1.52, 5.4767, 1.46099,-2.37204,9.30898, 5.31302,-2.77077
1.53, 5.49131, 1.43727,-2.38957,9.36211, 5.28531,-2.83453
1.54, 5.50568, 1.41338,-2.40682,9.41496, 5.25697,-2.89795
1.55, 5.51982, 1.38931,-2.42378,9.46753, 5.22799,-2.96104
1.56, 5.53371, 1.36507,-2.44045,9.51981, 5.19838,-3.02377
1.57, 5.54736, 1.34067,-2.45683,9.57179, 5.16814,-3.08615
1.58, 5.56077, 1.3161,-2.47292,9.62348, 5.13728,-3.14817
1.59, 5.57393, 1.29137,-2.48871,9.67485, 5.10579,-3.20982
1.6, 5.58684, 1.26648,-2.50421,9.72591, 5.0737,-3.27109
1.61, 5.59951, 1.24144,-2.51941,9.77664, 5.04099,-3.33197
1.62, 5.61192, 1.21625,-2.53431,9.82705, 5.00767,-3.39246
1.63, 5.62408, 1.1909,-2.5489,9.87713, 4.97374,-3.45256
1.64, 5.63599, 1.16542,-2.56319,9.92687, 4.93922,-3.51224
1.65, 5.64765, 1.13978,-2.57718,9.97626, 4.90409,-3.57151
1.66, 5.65905, 1.11401,-2.59085,10.0253, 4.86838,-3.63036
1.67, 5.67019, 1.0881,-2.60422,10.074, 4.83207,-3.68878
1.68, 5.68107, 1.06206,-2.61728,10.1223, 4.79519,-3.74677
1.69, 5.69169, 1.03589,-2.63002,10.1703, 4.75772,-3.80431
1.7, 5.70205, 1.00959,-2.64246,10.2178, 4.71968,-3.8614
1.71, 5.71214, 0.983163,-2.65457,10.265, 4.68106,-3.91804
1.72, 5.72197, 0.956617,-2.66637,10.3118, 4.64188,-3.97421
1.73, 5.73154, 0.929954,-2.67785,10.3583, 4.60214,-4.02991
1.74, 5.74084, 0.903175,-2.68901,10.4043, 4.56184,-4.08514
1.75, 5.74987, 0.876285,-2.69985,10.4499, 4.52099,-4.13988
1.76, 5.75863, 0.849287,-2.71036,10.4951, 4.47959,-4.19413
1.77, 5.76713, 0.822183,-2.72055,10.5399, 4.43765,-4.24789
