No iterations: 3999
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.096, 0.909702, -0.823663,3.56482,2.0903, 0.823663,-3.56482
0.0965, 0.909291, -0.821877,3.58106,2.09071, 0.821877,-3.58106
0.097, 0.90888, -0.820083,3.59727,2.09112, 0.820083,-3.59727
0.0975, 0.90847, -0.818281,3.61344,2.09153, 0.818281,-3.61344
0.098, 0.908062, -0.816471,3.62958,2.09194, 0.816471,-3.62958
0.0985, 0.907654, -0.814653,3.64568,2.09235, 0.814653,-3.64568
0.099, 0.907247, -0.812827,3.66175,2.09275, 0.812827,-3.66175
0.0995, 0.906841, -0.810992,3.67778,2.09316, 0.810992,-3.67778
0.1, 0.906436, -0.80915,3.69377,2.09356, 0.80915,-3.69377
0.1005, 0.906032, -0.8073,3.70973,2.09397, 0.8073,-3.70972
0.101, 0.905628, -0.805442,3.72565,2.09437, 0.805442,-3.72565
0.1015, 0.905226, -0.803576,3.74153,2.09477, 0.803576,-3.74153
0.102, 0.904825, -0.801702,3.75738,2.09518, 0.801702,-3.75738
0.1025, 0.904424, -0.79982,3.77319,2.09558, 0.79982,-3.77319
0.103, 0.904025, -0.79793,3.78896,2.09598, 0.79793,-3.78896
0.1035, 0.903626, -0.796032,3.80469,2.09637, 0.796032,-3.80469
0.104, 0.903228, -0.794126,3.82039,2.09677, 0.794126,-3.82039
0.1045, 0.902832, -0.792213,3.83605,2.09717, 0.792213,-3.83605
0.105, 0.902436, -0.790292,3.85167,2.09756, 0.790292,-3.85167
0.1055, 0.902041, -0.788363,3.86726,2.09796, 0.788363,-3.86726
0.106, 0.901647, -0.786426,3.8828,2.09835, 0.786426,-3.8828
0.1065, 0.901255, -0.784481,3.89831,2.09875, 0.784481,-3.89831
0.107, 0.900863, -0.782529,3.91378,2.09914, 0.782529,-3.91378
0.1075, 0.900472, -0.780569,3.92921,2.09953, 0.780569,-3.92921
0.108, 0.900082, -0.778601,3.9446,2.09992, 0.778601,-3.9446
0.1085, 0.899693, -0.776625,3.95995,2.10031, 0.776625,-3.95995
0.109, 0.899305, -0.774642,3.97527,2.10069, 0.774642,-3.97527
0.1095, 0.898918, -0.772651,3.99054,2.10108, 0.772651,-3.99054
0.11, 0.898532, -0.770653,4.00578,2.10147, 0.770653,-4.00578
0.1105, 0.898148, -0.768647,4.02097,2.10185, 0.768647,-4.02097
0.111, 0.897764, -0.766633,4.03613,2.10224, 0.766633,-4.03613
0.1115, 0.897381, -0.764612,4.05124,2.10262, 0.764612,-4.05124
0.112, 0.896999, -0.762583,4.06632,2.103, 0.762583,-4.06632
0.1125, 0.896618, -0.760547,4.08136,2.10338, 0.760547,-4.08135
0.113, 0.896238, -0.758503,4.09635,2.10376, 0.758503,-4.09635
0.1135, 0.895859, -0.756452,4.11131,2.10414, 0.756452,-4.11131
0.114, 0.895482, -0.754393,4.12622,2.10452, 0.754393,-4.12622
0.1145, 0.895105, -0.752327,4.14109,2.1049, 0.752327,-4.14109
0.115, 0.894729, -0.750253,4.15593,2.10527, 0.750253,-4.15593
0.1155, 0.894354, -0.748172,4.17072,2.10565, 0.748172,-4.17072
0.116, 0.893981, -0.746084,4.18547,2.10602, 0.746084,-4.18547
0.1165, 0.893608, -0.743988,4.20018,2.10639, 0.743988,-4.20018
0.117, 0.893237, -0.741885,4.21485,2.10676, 0.741885,-4.21485
0.1175, 0.892866, -0.739774,4.22948,2.10713, 0.739774,-4.22948
0.118, 0.892497, -0.737656,4.24406,2.1075, 0.737656,-4.24406
0.1185, 0.892128, -0.735531,4.25861,2.10787, 0.735531,-4.25861
0.119, 0.891761, -0.733399,4.27311,2.10824, 0.733399,-4.27311
0.1195, 0.891395, -0.73126,4.28757,2.10861, 0.73126,-4.28757
0.12, 0.891029, -0.729113,4.30199,2.10897, 0.729113,-4.30199
0.1205, 0.890665, -0.726959,4.31636,2.10933, 0.726959,-4.31636
0.121, 0.890302, -0.724798,4.33069,2.1097, 0.724798,-4.33069
0.1215, 0.88994, -0.722629,4.34498,2.11006, 0.722629,-4.34498
0.122, 0.88958, -0.720454,4.35923,2.11042, 0.720454,-4.35923
0.1225, 0.88922, -0.718271,4.37343,2.11078, 0.718271,-4.37343
0.123, 0.888861, -0.716082,4.38759,2.11114, 0.716082,-4.38759
0.1235, 0.888503, -0.713885,4.4017,2.1115, 0.713885,-4.4017
0.124, 0.888147, -0.711681,4.41578,2.11185, 0.711681,-4.41578
0.1245, 0.887792, -0.70947,4.42981,2.11221, 0.70947,-4.42981
0.125, 0.887437, -0.707252,4.4438,2.11256, 0.707252,-4.4438
0.1255, 0.887084, -0.705028,4.45774,2.11292, 0.705028,-4.45774
0.126, 0.886732, -0.702796,4.47164,2.11327, 0.702796,-4.47164
0.1265, 0.886381, -0.700557,4.48549,2.11362, 0.700557,-4.48549
0.127, 0.886031, -0.698311,4.4993,2.11397, 0.698311,-4.4993
0.1275, 0.885683, -0.696059,4.51306,2.11432, 0.696059,-4.51306
0.128, 0.885335, -0.6938,4.52679,2.11466, 0.6938,-4.52678
0.1285, 0.884989, -0.691533,4.54046,2.11501, 0.691533,-4.54046
0.129, 0.884643, -0.68926,4.5541,2.11536, 0.68926,-4.5541
0.1295, 0.884299, -0.68698,4.56768,2.1157, 0.68698,-4.56768
0.13, 0.883956, -0.684694,4.58122,2.11604, 0.684694,-4.58123
0.1305, 0.883614, -0.6824,4.59472,2.11639, 0.6824,-4.59472
0.131, 0.883274, -0.6801,4.60817,2.11673, 0.6801,-4.60817
0.1315, 0.882934, -0.677793,4.62158,2.11707, 0.677793,-4.62158
0.132, 0.882596, -0.67548,4.63494,2.1174, 0.67548,-4.63493
0.1325, 0.882258, -0.673159,4.64825,2.11774, 0.673159,-4.64825
0.133, 0.881922, -0.670833,4.66152,2.11808, 0.670833,-4.66152
0.1335, 0.881587, -0.668499,4.67474,2.11841, 0.668499,-4.67474
0.134, 0.881254, -0.666159,4.68792,2.11875, 0.666159,-4.68792
0.1345, 0.880921, -0.663812,4.70105,2.11908, 0.663812,-4.70105
0.135, 0.88059, -0.661459,4.71413,2.11941, 0.661459,-4.71413
0.1355, 0.880259, -0.659099,4.72717,2.11974, 0.659099,-4.72717
0.136, 0.87993, -0.656733,4.74016,2.12007, 0.656733,-4.74016
0.1365, 0.879602, -0.65436,4.7531,2.1204, 0.65436,-4.75311
0.137, 0.879276, -0.651981,4.766,2.12072, 0.651981,-4.766
0.1375, 0.87895, -0.649595,4.77885,2.12105, 0.649595,-4.77885
0.138, 0.878626, -0.647203,4.79166,2.12137, 0.647203,-4.79166
0.1385, 0.878303, -0.644805,4.80441,2.1217, 0.644805,-4.80441
0.139, 0.877981, -0.6424,4.81712,2.12202, 0.6424,-4.81712
0.1395, 0.87766, -0.639989,4.82978,2.12234, 0.639989,-4.82978
0.14, 0.877341, -0.637571,4.84239,2.12266, 0.637571,-4.84239
0.1405, 0.877023, -0.635147,4.85496,2.12298, 0.635147,-4.85496
0.141, 0.876705, -0.632717,4.86747,2.12329, 0.632717,-4.86748
0.1415, 0.87639, -0.630281,4.87994,2.12361, 0.630281,-4.87995
0.142, 0.876075, -0.627838,4.89236,2.12393, 0.627838,-4.89236
0.1425, 0.875762, -0.625389,4.90474,2.12424, 0.625389,-4.90474
0.143, 0.875449, -0.622935,4.91706,2.12455, 0.622935,-4.91706
0.1435, 0.875138, -0.620473,4.92934,2.12486, 0.620473,-4.92934
0.144, 0.874829, -0.618006,4.94157,2.12517, 0.618006,-4.94157
0.1445, 0.87452, -0.615533,4.95374,2.12548, 0.615533,-4.95374
0.145, 0.874213, -0.613054,4.96587,2.12579, 0.613054,-4.96587
0.1455, 0.873907, -0.610568,4.97795,2.12609, 0.610568,-4.97796
0.146, 0.873602, -0.608077,4.98999,2.1264, 0.608077,-4.98999
0.1465, 0.873299, -0.605579,5.00197,2.1267, 0.605579,-5.00197
0.147, 0.872996, -0.603076,5.0139,2.127, 0.603076,-5.0139
0.1475, 0.872695, -0.600566,5.02578,2.1273, 0.600566,-5.02578
0.148, 0.872396, -0.598051,5.03762,2.1276, 0.598051,-5.03762
0.1485, 0.872097, -0.59553,5.0494,2.1279, 0.59553,-5.04941
0.149, 0.8718, -0.593002,5.06114,2.1282, 0.593002,-5.06114
0.1495, 0.871504, -0.590469,5.07282,2.1285, 0.590469,-5.07283
0.15, 0.871209, -0.587931,5.08446,2.12879, 0.587931,-5.08446
0.1505, 0.870916, -0.585386,5.09604,2.12908, 0.585386,-5.09604
0.151, 0.870624, -0.582835,5.10758,2.12938, 0.582836,-5.10758
0.1515, 0.870333, -0.580279,5.11906,2.12967, 0.580279,-5.11906
0.152, 0.870043, -0.577717,5.13049,2.12996, 0.577717,-5.1305
0.1525, 0.869755, -0.57515,5.14187,2.13025, 0.57515,-5.14187
0.153, 0.869468, -0.572576,5.15321,2.13053, 0.572576,-5.15321
0.1535, 0.869182, -0.569998,5.16449,2.13082, 0.569998,-5.16448
0.154, 0.868898, -0.567413,5.17572,2.1311, 0.567413,-5.17572
0.1545, 0.868614, -0.564823,5.18689,2.13139, 0.564823,-5.18689
0.155, 0.868333, -0.562227,5.19803,2.13167, 0.562227,-5.19803
0.1555, 0.868052, -0.559626,5.2091,2.13195, 0.559626,-5.2091
0.156, 0.867773, -0.557019,5.22013,2.13223, 0.557019,-5.22013
0.1565, 0.867495, -0.554406,5.2311,2.13251, 0.554406,-5.2311
0.157, 0.867218, -0.551789,5.24202,2.13278, 0.551789,-5.24202
0.1575, 0.866943, -0.549165,5.25289,2.13306, 0.549165,-5.25289
0.158, 0.866669, -0.546537,5.26371,2.13333, 0.546537,-5.26371
0.1585, 0.866396, -0.543903,5.27448,2.1336, 0.543903,-5.27448
0.159, 0.866125, -0.541263,5.28519,2.13388, 0.541263,-5.28519
0.1595, 0.865854, -0.538618,5.29585,2.13415, 0.538618,-5.29585
0.16, 0.865586, -0.535968,5.30646,2.13441, 0.535968,-5.30646
0.1605, 0.865318, -0.533313,5.31702,2.13468, 0.533313,-5.31702
0.161, 0.865052, -0.530652,5.32753,2.13495, 0.530652,-5.32752
0.1615, 0.864787, -0.527986,5.33798,2.13521, 0.527986,-5.33798
0.162, 0.864524, -0.525315,5.34838,2.13548, 0.525315,-5.34838
0.1625, 0.864262, -0.522639,5.35873,2.13574, 0.522639,-5.35873
0.163, 0.864001, -0.519957,5.36902,2.136, 0.519957,-5.36902
0.1635, 0.863742, -0.51727,5.37926,2.13626, 0.51727,-5.37926
0.164, 0.863484, -0.514579,5.38945,2.13652, 0.514579,-5.38945
0.1645, 0.863227, -0.511882,5.39959,2.13677, 0.511882,-5.39959
0.165, 0.862971, -0.50918,5.40967,2.13703, 0.50918,-5.40967
0.1655, 0.862717, -0.506473,5.4197,2.13728, 0.506473,-5.4197
0.166, 0.862465, -0.503761,5.42967,2.13754, 0.503761,-5.42967
0.1665, 0.862213, -0.501044,5.43959,2.13779, 0.501044,-5.4396
0.167, 0.861964, -0.498322,5.44946,2.13804, 0.498322,-5.44946
0.1675, 0.861715, -0.495596,5.45928,2.13829, 0.495596,-5.45928
0.168, 0.861468, -0.492864,5.46904,2.13853, 0.492864,-5.46904
0.1685, 0.861222, -0.490127,5.47874,2.13878, 0.490127,-5.47874
0.169, 0.860977, -0.487386,5.48839,2.13902, 0.487386,-5.48839
0.1695, 0.860734, -0.48464,5.49799,2.13927, 0.48464,-5.49799
0.17, 0.860492, -0.481889,5.50754,2.13951, 0.481889,-5.50754
0.1705, 0.860252, -0.479133,5.51702,2.13975, 0.479133,-5.51702
0.171, 0.860013, -0.476373,5.52646,2.13999, 0.476373,-5.52646
0.1715, 0.859776, -0.473607,5.53584,2.14022, 0.473607,-5.53584
0.172, 0.859539, -0.470837,5.54517,2.14046, 0.470837,-5.54517
0.1725, 0.859304, -0.468063,5.55444,2.1407, 0.468063,-5.55444
0.173, 0.859071, -0.465284,5.56365,2.14093, 0.465284,-5.56365
0.1735, 0.858839, -0.4625,5.57281,2.14116, 0.4625,-5.57281
0.174, 0.858608, -0.459712,5.58192,2.14139, 0.459712,-5.58192
0.1745, 0.858379, -0.456919,5.59097,2.14162, 0.456919,-5.59098
0.175, 0.858151, -0.454122,5.59997,2.14185, 0.454122,-5.59997
0.1755, 0.857925, -0.45132,5.60891,2.14208, 0.45132,-5.60891
0.176, 0.8577, -0.448513,5.61779,2.1423, 0.448513,-5.61779
0.1765, 0.857476, -0.445703,5.62663,2.14252, 0.445703,-5.62662
0.177, 0.857254, -0.442888,5.6354,2.14275, 0.442888,-5.6354
0.1775, 0.857033, -0.440068,5.64412,2.14297, 0.440068,-5.64412
0.178, 0.856813, -0.437244,5.65278,2.14319, 0.437244,-5.65278
