No iterations: 20000
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
0.0144, 0.985619, -0.995938,0.567728,2.01438, 0.995938,-0.567727
0.0145, 0.98552, -0.995881,0.571661,2.01448, 0.995881,-0.571661
0.0146, 0.98542, -0.995824,0.575595,2.01458, 0.995824,-0.575596
0.0147, 0.98532, -0.995766,0.579524,2.01468, 0.995766,-0.579522
0.0148, 0.985221, -0.995709,0.583455,2.01478, 0.995709,-0.583455
0.0149, 0.985121, -0.99565,0.587389,2.01488, 0.99565,-0.58739
0.015, 0.985022, -0.995591,0.591315,2.01498, 0.995591,-0.591314
0.0151, 0.984922, -0.995532,0.595249,2.01508, 0.995532,-0.595249
0.0152, 0.984823, -0.995473,0.599177,2.01518, 0.995473,-0.599175
0.0153, 0.984723, -0.995413,0.603108,2.01528, 0.995413,-0.603108
0.0154, 0.984624, -0.995353,0.607036,2.01538, 0.995353,-0.607035
0.0155, 0.984524, -0.995292,0.610968,2.01548, 0.995292,-0.610968
0.0156, 0.984424, -0.995231,0.614896,2.01558, 0.995231,-0.614894
0.0157, 0.984325, -0.995169,0.618826,2.01568, 0.995169,-0.618827
0.0158, 0.984225, -0.995107,0.622753,2.01577, 0.995107,-0.622752
0.0159, 0.984126, -0.995045,0.626685,2.01587, 0.995045,-0.626686
0.016, 0.984026, -0.994982,0.630611,2.01597, 0.994982,-0.630611
0.0161, 0.983927, -0.994919,0.634537,2.01607, 0.994919,-0.634536
0.0162, 0.983827, -0.994856,0.638467,2.01617, 0.994856,-0.638469
0.0163, 0.983728, -0.994792,0.642395,2.01627, 0.994792,-0.642395
0.0164, 0.983628, -0.994728,0.646321,2.01637, 0.994728,-0.64632
0.0165, 0.983529, -0.994663,0.650246,2.01647, 0.994663,-0.650245
0.0166, 0.98343, -0.994598,0.654177,2.01657, 0.994598,-0.654178
0.0167, 0.98333, -0.994533,0.658104,2.01667, 0.994533,-0.658105
