Time (s), Position 1 (cm), Velocity 1 (cm s-1), Acceleration 1 (cm s-2)Position 2 (cm), Velocity 2 (cm s-1), Acceleration 2 (cm s-2)
0, 2, 2,2.25,7, -1,0
0.001, 2.002, 2.00225,2.247,6.999, -1,0.00149989
0.002, 2.004, 2.0045,2.244,6.998, -0.999999,0.00299978
0.003, 2.00601, 2.00674,2.24099,6.997, -0.999996,0.00449967
0.004, 2.00801, 2.00898,2.23798,6.996, -0.999991,0.00600028
0.005, 2.01002, 2.01122,2.23497,6.995, -0.999985,0.00750017
0.006, 2.01203, 2.01345,2.23195,6.994, -0.999978,0.00900006
0.007, 2.01405, 2.01569,2.22893,6.993, -0.999969,0.0105
0.008, 2.01606, 2.01792,2.22591,6.992, -0.999958,0.0119998
0.009, 2.01808, 2.02014,2.22288,6.991, -0.999946,0.0134997
0.01, 2.0201, 2.02236,2.21985,6.99, -0.999933,0.0149996
0.011, 2.02212, 2.02458,2.21681,6.989, -0.999918,0.0164995
0.012, 2.02415, 2.0268,2.21378,6.988, -0.999901,0.0179994
0.013, 2.02617, 2.02902,2.21074,6.987, -0.999883,0.0194993
0.014, 2.0282, 2.03123,2.20769,6.986, -0.999864,0.0209992
0.015, 2.03023, 2.03343,2.20465,6.985, -0.999843,0.0224991
0.016, 2.03227, 2.03564,2.2016,6.984, -0.99982,0.023999
0.017, 2.0343, 2.03784,2.19854,6.983, -0.999796,0.0254982
0.018, 2.03634, 2.04004,2.19549,6.982, -0.999771,0.026998
0.019, 2.03838, 2.04223,2.19243,6.981, -0.999744,0.0284979
0.02, 2.04042, 2.04443,2.18936,6.98, -0.999715,0.0299971
0.021, 2.04247, 2.04662,2.1863,6.979, -0.999685,0.031497
0.022, 2.04452, 2.0488,2.18323,6.978, -0.999654,0.0329969
0.023, 2.04656, 2.05099,2.18015,6.977, -0.999621,0.0344961
0.024, 2.04861, 2.05317,2.17708,6.976, -0.999586,0.0359952
0.025, 2.05067, 2.05534,2.174,6.975, -0.99955,0.0374951
0.026, 2.05272, 2.05752,2.17091,6.974, -0.999513,0.0389943
0.027, 2.05478, 2.05969,2.16783,6.973, -0.999474,0.0404935
0.028, 2.05684, 2.06186,2.16474,6.972, -0.999433,0.0419927
0.029, 2.0589, 2.06402,2.16165,6.97101, -0.999391,0.0434918
0.03, 2.06097, 2.06618,2.15855,6.97001, -0.999348,0.044991
0.031, 2.06303, 2.06834,2.15545,6.96901, -0.999303,0.0464902
0.032, 2.0651, 2.0705,2.15235,6.96801, -0.999256,0.0479887
0.033, 2.06717, 2.07265,2.14924,6.96701, -0.999208,0.0494878
0.034, 2.06924, 2.0748,2.14613,6.96601, -0.999159,0.0509863
0.035, 2.07132, 2.07694,2.14302,6.96501, -0.999108,0.0524855
0.036, 2.0734, 2.07909,2.13991,6.96401, -0.999055,0.0539839
0.037, 2.07547, 2.08123,2.13679,6.96301, -0.999001,0.0554824
0.038, 2.07756, 2.08336,2.13367,6.96201, -0.998946,0.0569808
0.039, 2.07964, 2.0855,2.13054,6.96101, -0.998889,0.0584793
0.04, 2.08173, 2.08763,2.12741,6.96001, -0.99883,0.0599778
0.041, 2.08381, 2.08975,2.12428,6.95902, -0.99877,0.0614762
0.042, 2.0859, 2.09188,2.12115,6.95802, -0.998709,0.062974
0.043, 2.08799, 2.094,2.11801,6.95702, -0.998646,0.0644724
0.044, 2.09009, 2.09612,2.11487,6.95602, -0.998581,0.0659702
0.045, 2.09218, 2.09823,2.11172,6.95502, -0.998515,0.0674679
0.046, 2.09428, 2.10034,2.10858,6.95402, -0.998448,0.0689657
0.047, 2.09638, 2.10245,2.10543,6.95302, -0.998379,0.0704634
0.048, 2.09849, 2.10456,2.10227,6.95203, -0.998308,0.0719612
0.049, 2.10059, 2.10666,2.09912,6.95103, -0.998236,0.0734589
0.05, 2.1027, 2.10876,2.09596,6.95003, -0.998163,0.0749559
0.051, 2.10481, 2.11086,2.09279,6.94903, -0.998088,0.076453
0.052, 2.10692, 2.11295,2.08963,6.94803, -0.998012,0.07795
0.053, 2.10903, 2.11504,2.08646,6.94704, -0.997934,0.079447
0.054, 2.11114, 2.11712,2.08328,6.94604, -0.997854,0.0809441
0.055, 2.11326, 2.11921,2.08011,6.94504, -0.997773,0.0824411
0.056, 2.11538, 2.12129,2.07693,6.94404, -0.997691,0.0839374
0.057, 2.1175, 2.12337,2.07375,6.94304, -0.997607,0.0854344
0.058, 2.11963, 2.12544,2.07056,6.94205, -0.997521,0.0869308
0.059, 2.12175, 2.12751,2.06737,6.94105, -0.997435,0.0884271
0.06, 2.12388, 2.12958,2.06418,6.94005, -0.997346,0.0899234
0.061, 2.12601, 2.13164,2.06099,6.93905, -0.997256,0.091419
0.062, 2.12814, 2.1337,2.05779,6.93806, -0.997165,0.0929146
0.063, 2.13027, 2.13576,2.05459,6.93706, -0.997072,0.0944109
0.064, 2.13241, 2.13781,2.05139,6.93606, -0.996977,0.0959065
0.065, 2.13455, 2.13987,2.04818,6.93507, -0.996882,0.0974021
0.066, 2.13669, 2.14191,2.04497,6.93407, -0.996784,0.098897
0.067, 2.13883, 2.14396,2.04176,6.93307, -0.996685,0.100393
0.068, 2.14097, 2.146,2.03854,6.93208, -0.996585,0.101887
0.069, 2.14312, 2.14804,2.03532,6.93108, -0.996483,0.103382
0.07, 2.14527, 2.15007,2.0321,6.93008, -0.99638,0.104877
0.071, 2.14742, 2.15211,2.02888,6.92909, -0.996275,0.106371
0.072, 2.14957, 2.15414,2.02565,6.92809, -0.996168,0.107866
0.073, 2.15172, 2.15616,2.02242,6.92709, -0.99606,0.10936
0.074, 2.15388, 2.15818,2.01918,6.9261, -0.995951,0.110854
0.075, 2.15604, 2.1602,2.01594,6.9251, -0.99584,0.112348
0.076, 2.1582, 2.16222,2.0127,6.92411, -0.995728,0.113842
0.077, 2.16036, 2.16423,2.00946,6.92311, -0.995614,0.115336
0.078, 2.16252, 2.16624,2.00621,6.92211, -0.995499,0.116829
0.079, 2.16469, 2.16825,2.00296,6.92112, -0.995382,0.118322
0.08, 2.16686, 2.17025,1.99971,6.92012, -0.995264,0.119815
0.081, 2.16903, 2.17225,1.99646,6.91913, -0.995144,0.121308
0.082, 2.1712, 2.17425,1.9932,6.91813, -0.995022,0.122801
0.083, 2.17338, 2.17624,1.98994,6.91714, -0.9949,0.124294
0.084, 2.17555, 2.17823,1.98667,6.91614, -0.994775,0.125786
0.085, 2.17773, 2.18022,1.98341,6.91515, -0.99465,0.127278
0.086, 2.17991, 2.1822,1.98014,6.91415, -0.994522,0.12877
0.087, 2.18209, 2.18418,1.97686,6.91316, -0.994394,0.130262
0.088, 2.18428, 2.18616,1.97359,6.91216, -0.994263,0.131753
0.089, 2.18646, 2.18813,1.97031,6.91117, -0.994131,0.133244
0.09, 2.18865, 2.1901,1.96702,6.91018, -0.993998,0.134736
0.091, 2.19084, 2.19207,1.96374,6.90918, -0.993864,0.136227
0.092, 2.19303, 2.19403,1.96045,6.90819, -0.993727,0.137717
0.093, 2.19523, 2.19599,1.95716,6.90719, -0.99359,0.139208
0.094, 2.19742, 2.19795,1.95387,6.9062, -0.99345,0.140699
0.095, 2.19962, 2.1999,1.95057,6.90521, -0.99331,0.142189
0.096, 2.20182, 2.20185,1.94727,6.90421, -0.993167,0.143678
0.097, 2.20402, 2.2038,1.94397,6.90322, -0.993024,0.145168
0.098, 2.20623, 2.20574,1.94066,6.90223, -0.992879,0.146658
0.099, 2.20843, 2.20768,1.93735,6.90124, -0.992732,0.148147
0.1, 2.21064, 2.20962,1.93404,6.90024, -0.992584,0.149637
0.101, 2.21285, 2.21156,1.93073,6.89925, -0.992434,0.151126
0.102, 2.21506, 2.21349,1.92741,6.89826, -0.992283,0.152614
0.103, 2.21727, 2.21541,1.92409,6.89727, -0.99213,0.154103
0.104, 2.21949, 2.21734,1.92077,6.89627, -0.991976,0.15559
0.105, 2.22171, 2.21926,1.91744,6.89528, -0.991821,0.157079
0.106, 2.22393, 2.22118,1.91411,6.89429, -0.991664,0.158566
0.107, 2.22615, 2.22309,1.91078,6.8933, -0.991505,0.160053
0.108, 2.22837, 2.225,1.90744,6.89231, -0.991345,0.161541
0.109, 2.2306, 2.22691,1.90411,6.89131, -0.991184,0.163028
0.11, 2.23282, 2.22881,1.90077,6.89032, -0.99102,0.164515
0.111, 2.23505, 2.23071,1.89742,6.88933, -0.990856,0.166002
0.112, 2.23728, 2.23261,1.89408,6.88834, -0.99069,0.167488
0.113, 2.23951, 2.23451,1.89073,6.88735, -0.990522,0.168973
0.114, 2.24175, 2.2364,1.88738,6.88636, -0.990354,0.17046
0.115, 2.24399, 2.23828,1.88402,6.88537, -0.990183,0.171945
0.116, 2.24622, 2.24017,1.88066,6.88438, -0.990011,0.17343
0.117, 2.24846, 2.24205,1.8773,6.88339, -0.989838,0.174915
0.118, 2.25071, 2.24393,1.87394,6.8824, -0.989663,0.1764
0.119, 2.25295, 2.2458,1.87058,6.88141, -0.989486,0.177885
0.12, 2.2552, 2.24767,1.86721,6.88042, -0.989308,0.179369
0.121, 2.25744, 2.24954,1.86383,6.87943, -0.989129,0.180852
0.122, 2.25969, 2.2514,1.86046,6.87844, -0.988948,0.182337
0.123, 2.26194, 2.25326,1.85708,6.87745, -0.988766,0.18382
0.124, 2.2642, 2.25512,1.8537,6.87646, -0.988582,0.185303
0.125, 2.26645, 2.25697,1.85032,6.87548, -0.988397,0.186786
0.126, 2.26871, 2.25882,1.84694,6.87449, -0.98821,0.188268
0.127, 2.27097, 2.26067,1.84355,6.8735, -0.988022,0.189751
0.128, 2.27323, 2.26251,1.84016,6.87251, -0.987832,0.191233
0.129, 2.27549, 2.26435,1.83676,6.87152, -0.987641,0.192714
0.13, 2.27776, 2.26619,1.83337,6.87054, -0.987448,0.194196
0.131, 2.28002, 2.26802,1.82997,6.86955, -0.987254,0.195678
0.132, 2.28229, 2.26985,1.82656,6.86856, -0.987058,0.197158
0.133, 2.28456, 2.27168,1.82316,6.86757, -0.986861,0.198639
0.134, 2.28683, 2.2735,1.81975,6.86659, -0.986662,0.200119
0.135, 2.28911, 2.27532,1.81634,6.8656, -0.986462,0.201599
0.136, 2.29138, 2.27714,1.81293,6.86461, -0.986261,0.203079
0.137, 2.29366, 2.27895,1.80951,6.86363, -0.986058,0.204558
0.138, 2.29594, 2.28076,1.8061,6.86264, -0.985853,0.206037
0.139, 2.29822, 2.28257,1.80267,6.86166, -0.985647,0.207516
0.14, 2.3005, 2.28437,1.79925,6.86067, -0.985439,0.208994
0.141, 2.30278, 2.28617,1.79582,6.85968, -0.98523,0.210473
0.142, 2.30507, 2.28797,1.79239,6.8587, -0.98502,0.21195
0.143, 2.30736, 2.28976,1.78896,6.85771, -0.984808,0.213428
0.144, 2.30965, 2.29155,1.78553,6.85673, -0.984595,0.214905
0.145, 2.31194, 2.29333,1.78209,6.85575, -0.98438,0.216382
0.146, 2.31423, 2.29511,1.77865,6.85476, -0.984163,0.217858
0.147, 2.31653, 2.29689,1.77521,6.85378, -0.983945,0.219335
0.148, 2.31883, 2.29867,1.77176,6.85279, -0.983726,0.220811
0.149, 2.32112, 2.30044,1.76831,6.85181, -0.983505,0.222286
0.15, 2.32342, 2.30221,1.76486,6.85083, -0.983283,0.223761
0.151, 2.32573, 2.30397,1.76141,6.84984, -0.983059,0.225236
0.152, 2.32803, 2.30573,1.75795,6.84886, -0.982834,0.226711
0.153, 2.33034, 2.30749,1.7545,6.84788, -0.982607,0.228185
0.154, 2.33264, 2.30925,1.75103,6.84689, -0.982379,0.229659
0.155, 2.33495, 2.311,1.74757,6.84591, -0.982149,0.231133
0.156, 2.33726, 2.31275,1.7441,6.84493, -0.981918,0.232606
0.157, 2.33958, 2.31449,1.74063,6.84395, -0.981686,0.234079
0.158, 2.34189, 2.31623,1.73716,6.84297, -0.981452,0.235552
0.159, 2.34421, 2.31797,1.73369,6.84198, -0.981216,0.237024
0.16, 2.34653, 2.3197,1.73021,6.841, -0.980979,0.238496
0.161, 2.34885, 2.32143,1.72673,6.84002, -0.980741,0.239967
0.162, 2.35117, 2.32316,1.72325,6.83904, -0.980501,0.241438
0.163, 2.35349, 2.32488,1.71977,6.83806, -0.980259,0.242909
0.164, 2.35581, 2.3266,1.71628,6.83708, -0.980016,0.244379
0.165, 2.35814, 2.32832,1.71279,6.8361, -0.979772,0.245849
0.166, 2.36047, 2.33003,1.7093,6.83512, -0.979526,0.247319
0.167, 2.3628, 2.33174,1.7058,6.83414, -0.979279,0.248788
0.168, 2.36513, 2.33345,1.7023,6.83316, -0.97903,0.250257
0.169, 2.36746, 2.33515,1.6988,6.83218, -0.97878,0.251726
0.17, 2.3698, 2.33685,1.6953,6.8312, -0.978528,0.253194
0.171, 2.37214, 2.33854,1.6918,6.83023, -0.978275,0.254662
0.172, 2.37448, 2.34023,1.68829,6.82925, -0.97802,0.256129
0.173, 2.37682, 2.34192,1.68478,6.82827, -0.977764,0.257596
0.174, 2.37916, 2.34361,1.68126,6.82729, -0.977506,0.259063
0.175, 2.3815, 2.34529,1.67775,6.82631, -0.977247,0.260529
0.176, 2.38385, 2.34697,1.67423,6.82534, -0.976987,0.261995
0.177, 2.38619, 2.34864,1.67071,6.82436, -0.976725,0.26346
0.178, 2.38854, 2.35031,1.66719,6.82338, -0.976461,0.264925
0.179, 2.39089, 2.35198,1.66366,6.82241, -0.976196,0.26639
0.18, 2.39324, 2.35364,1.66013,6.82143, -0.97593,0.267855
0.181, 2.3956, 2.3553,1.6566,6.82045, -0.975662,0.269318
0.182, 2.39795, 2.35696,1.65307,6.81948, -0.975393,0.270782
0.183, 2.40031, 2.35861,1.64953,6.8185, -0.975122,0.272245
0.184, 2.40267, 2.36026,1.646,6.81753, -0.97485,0.273708
0.185, 2.40503, 2.36191,1.64246,6.81655, -0.974576,0.27517
0.186, 2.40739, 2.36355,1.63891,6.81558, -0.974301,0.276632
0.187, 2.40975, 2.36519,1.63537,6.8146, -0.974024,0.278093
0.188, 2.41212, 2.36682,1.63182,6.81363, -0.973746,0.279554
0.189, 2.41449, 2.36846,1.62827,6.81266, -0.973467,0.281015
0.19, 2.41685, 2.37008,1.62472,6.81168, -0.973186,0.282475
0.191, 2.41922, 2.37171,1.62116,6.81071, -0.972903,0.283935
0.192, 2.4216, 2.37333,1.61761,6.80974, -0.972619,0.285394
0.193, 2.42397, 2.37495,1.61404,6.80876, -0.972334,0.286853
0.194, 2.42634, 2.37656,1.61048,6.80779, -0.972047,0.288312
0.195, 2.42872, 2.37817,1.60692,6.80682, -0.971759,0.289769
0.196, 2.4311, 2.37978,1.60335,6.80585, -0.971469,0.291227
0.197, 2.43348, 2.38138,1.59978,6.80488, -0.971178,0.292684
0.198, 2.43586, 2.38298,1.59621,6.80391, -0.970885,0.294141
0.199, 2.43824, 2.38458,1.59263,6.80293, -0.970591,0.295597
0.2, 2.44063, 2.38617,1.58906,6.80196, -0.970295,0.297054
0.201, 2.44301, 2.38776,1.58548,6.80099, -0.969998,0.298509
0.202, 2.4454, 2.38935,1.5819,6.80002, -0.9697,0.299964
0.203, 2.44779, 2.39093,1.57831,6.79905, -0.9694,0.301418
0.204, 2.45018, 2.39251,1.57473,6.79809, -0.969098,0.302872
0.205, 2.45258, 2.39408,1.57114,6.79712, -0.968795,0.304326
0.206, 2.45497, 2.39565,1.56755,6.79615, -0.968491,0.30578
0.207, 2.45736, 2.39722,1.56395,6.79518, -0.968185,0.307232
0.208, 2.45976, 2.39878,1.56036,6.79421, -0.967878,0.308684
0.209, 2.46216, 2.40034,1.55676,6.79324, -0.967569,0.310136
0.21, 2.46456, 2.4019,1.55316,6.79227, -0.967259,0.311588
0.211, 2.46696, 2.40345,1.54956,6.79131, -0.966948,0.313038
0.212, 2.46937, 2.405,1.54595,6.79034, -0.966635,0.314489
0.213, 2.47177, 2.40655,1.54234,6.78937, -0.96632,0.315938
0.214, 2.47418, 2.40809,1.53873,6.78841, -0.966004,0.317388
0.215, 2.47659, 2.40963,1.53512,6.78744, -0.965687,0.318837
0.216, 2.479, 2.41116,1.53151,6.78648, -0.965368,0.320286
0.217, 2.48141, 2.4127,1.52789,6.78551, -0.965048,0.321734
0.218, 2.48382, 2.41422,1.52427,6.78455, -0.964726,0.323181
0.219, 2.48623, 2.41575,1.52065,6.78358, -0.964403,0.324629
0.22, 2.48865, 2.41727,1.51703,6.78262, -0.964078,0.326075
0.221, 2.49107, 2.41879,1.5134,6.78165, -0.963752,0.327521
0.222, 2.49349, 2.4203,1.50977,6.78069, -0.963425,0.328967
0.223, 2.49591, 2.42181,1.50614,6.77973, -0.963096,0.330412
0.224, 2.49833, 2.42332,1.50251,6.77876, -0.962765,0.331856
0.225, 2.50075, 2.42482,1.49887,6.7778, -0.962433,0.333301
0.226, 2.50318, 2.42632,1.49524,6.77684, -0.9621,0.334745
0.227, 2.5056, 2.42781,1.4916,6.77587, -0.961765,0.336187
0.228, 2.50803, 2.4293,1.48796,6.77491, -0.961429,0.33763
0.229, 2.51046, 2.43079,1.48431,6.77395, -0.961091,0.339073
0.23, 2.51289, 2.43228,1.48066,6.77299, -0.960752,0.340514
0.231, 2.51532, 2.43376,1.47702,6.77203, -0.960412,0.341955
0.232, 2.51776, 2.43523,1.47337,6.77107, -0.96007,0.343396
0.233, 2.52019, 2.43671,1.46971,6.77011, -0.959727,0.344836
0.234, 2.52263, 2.43818,1.46606,6.76915, -0.959382,0.346275
0.235, 2.52507, 2.43964,1.4624,6.76819, -0.959035,0.347714
0.236, 2.52751, 2.44111,1.45874,6.76723, -0.958688,0.349153
0.237, 2.52995, 2.44256,1.45508,6.76627, -0.958339,0.350591
0.238, 2.53239, 2.44402,1.45142,6.76531, -0.957988,0.352029
0.239, 2.53483, 2.44547,1.44775,6.76436, -0.957636,0.353466
0.24, 2.53728, 2.44692,1.44408,6.7634, -0.957282,0.354902
0.241, 2.53973, 2.44836,1.44041,6.76244, -0.956928,0.356338
0.242, 2.54217, 2.4498,1.43674,6.76148, -0.956571,0.357773
0.243, 2.54462, 2.45124,1.43306,6.76053, -0.956213,0.359209
0.244, 2.54708, 2.45267,1.42939,6.75957, -0.955854,0.360643
0.245, 2.54953, 2.4541,1.42571,6.75862, -0.955494,0.362076
0.246, 2.55198, 2.45553,1.42203,6.75766, -0.955132,0.363509
0.247, 2.55444, 2.45695,1.41834,6.75671, -0.954768,0.364942
0.248, 2.55689, 2.45837,1.41466,6.75575, -0.954403,0.366375
0.249, 2.55935, 2.45978,1.41097,6.7548, -0.954037,0.367806
0.25, 2.56181, 2.46119,1.40728,6.75384, -0.953669,0.369237
0.251, 2.56427, 2.4626,1.40359,6.75289, -0.9533,0.370668
0.252, 2.56674, 2.464,1.3999,6.75193, -0.952929,0.372097
0.253, 2.5692, 2.4654,1.3962,6.75098, -0.952557,0.373527
0.254, 2.57167, 2.4668,1.3925,6.75003, -0.952183,0.374956
0.255, 2.57413, 2.46819,1.3888,6.74908, -0.951808,0.376384
0.256, 2.5766, 2.46958,1.3851,6.74813, -0.951432,0.377812
0.257, 2.57907, 2.47097,1.38139,6.74717, -0.951054,0.379239
0.258, 2.58154, 2.47235,1.37769,6.74622, -0.950675,0.380666
0.259, 2.58401, 2.47373,1.37398,6.74527, -0.950294,0.382092
0.26, 2.58649, 2.4751,1.37027,6.74432, -0.949912,0.383517
0.261, 2.58896, 2.47647,1.36656,6.74337, -0.949529,0.384942
0.262, 2.59144, 2.47784,1.36284,6.74242, -0.949144,0.386366
0.263, 2.59392, 2.4792,1.35912,6.74147, -0.948757,0.387789
0.264, 2.5964, 2.48056,1.35541,6.74052, -0.94837,0.389213
0.265, 2.59888, 2.48191,1.35168,6.73958, -0.94798,0.390635
0.266, 2.60136, 2.48327,1.34796,6.73863, -0.94759,0.392057
0.267, 2.60384, 2.48461,1.34424,6.73768, -0.947198,0.393479
0.268, 2.60633, 2.48596,1.34051,6.73673, -0.946804,0.3949
0.269, 2.60881, 2.4873,1.33678,6.73579, -0.946409,0.39632
0.27, 2.6113, 2.48864,1.33305,6.73484, -0.946013,0.397739
0.271, 2.61379, 2.48997,1.32932,6.73389, -0.945615,0.399158
0.272, 2.61628, 2.4913,1.32558,6.73295, -0.945216,0.400577
0.273, 2.61877, 2.49262,1.32185,6.732, -0.944816,0.401994
0.274, 2.62126, 2.49395,1.31811,6.73106, -0.944414,0.403412
0.275, 2.62376, 2.49526,1.31437,6.73011, -0.94401,0.404828
0.276, 2.62625, 2.49658,1.31062,6.72917, -0.943605,0.406245
0.277, 2.62875, 2.49789,1.30688,6.72823, -0.943199,0.40766
0.278, 2.63125, 2.4992,1.30313,6.72728, -0.942791,0.409075
0.279, 2.63375, 2.5005,1.29938,6.72634, -0.942382,0.410489
0.28, 2.63625, 2.5018,1.29563,6.7254, -0.941972,0.411903
0.281, 2.63875, 2.50309,1.29188,6.72446, -0.94156,0.413316
0.282, 2.64125, 2.50439,1.28812,6.72351, -0.941147,0.414728
0.283, 2.64375, 2.50567,1.28437,6.72257, -0.940732,0.416139
0.284, 2.64626, 2.50696,1.28061,6.72163, -0.940316,0.417551
0.285, 2.64877, 2.50824,1.27685,6.72069, -0.939898,0.418961
0.286, 2.65128, 2.50951,1.27309,6.71975, -0.939479,0.420371
0.287, 2.65379, 2.51079,1.26932,6.71881, -0.939059,0.421781
0.288, 2.6563, 2.51206,1.26556,6.71787, -0.938637,0.423189
0.289, 2.65881, 2.51332,1.26179,6.71694, -0.938214,0.424597
0.29, 2.66132, 2.51458,1.25802,6.716, -0.937789,0.426004
0.291, 2.66384, 2.51584,1.25425,6.71506, -0.937363,0.427411
0.292, 2.66635, 2.5171,1.25047,6.71412, -0.936936,0.428817
0.293, 2.66887, 2.51835,1.2467,6.71319, -0.936507,0.430222
0.294, 2.67139, 2.51959,1.24292,6.71225, -0.936077,0.431627
0.295, 2.67391, 2.52084,1.23914,6.71131, -0.935645,0.433031
0.296, 2.67643, 2.52208,1.23536,6.71038, -0.935212,0.434435
0.297, 2.67895, 2.52331,1.23158,6.70944, -0.934778,0.435838
0.298, 2.68147, 2.52454,1.22779,6.70851, -0.934342,0.437239
0.299, 2.684, 2.52577,1.224,6.70757, -0.933905,0.438641
0.3, 2.68652, 2.52699,1.22021,6.70664, -0.933466,0.440042
0.301, 2.68905, 2.52822,1.21642,6.70571, -0.933026,0.441442
0.302, 2.69158, 2.52943,1.21263,6.70477, -0.932585,0.442842
0.303, 2.69411, 2.53064,1.20884,6.70384, -0.932142,0.44424
0.304, 2.69664, 2.53185,1.20504,6.70291, -0.931697,0.445639
0.305, 2.69917, 2.53306,1.20124,6.70198, -0.931252,0.447036
0.306, 2.7017, 2.53426,1.19744,6.70104, -0.930805,0.448433
0.307, 2.70424, 2.53546,1.19364,6.70011, -0.930356,0.449829
0.308, 2.70677, 2.53665,1.18984,6.69918, -0.929907,0.451225
0.309, 2.70931, 2.53784,1.18603,6.69825, -0.929455,0.45262
0.31, 2.71185, 2.53903,1.18223,6.69732, -0.929003,0.454014
0.311, 2.71439, 2.54021,1.17842,6.6964, -0.928549,0.455408
0.312, 2.71693, 2.54139,1.17461,6.69547, -0.928093,0.4568
0.313, 2.71947, 2.54256,1.1708,6.69454, -0.927636,0.458192
0.314, 2.72201, 2.54373,1.16698,6.69361, -0.927178,0.459584
0.315, 2.72455, 2.5449,1.16317,6.69268, -0.926719,0.460974
0.316, 2.7271, 2.54606,1.15935,6.69176, -0.926258,0.462365
0.317, 2.72965, 2.54722,1.15553,6.69083, -0.925795,0.463754
0.318, 2.73219, 2.54838,1.15171,6.6899, -0.925332,0.465143
0.319, 2.73474, 2.54953,1.14789,6.68898, -0.924866,0.466531
0.32, 2.73729, 2.55068,1.14406,6.68805, -0.9244,0.467918
0.321, 2.73984, 2.55182,1.14024,6.68713, -0.923932,0.469305
0.322, 2.74239, 2.55296,1.13641,6.68621, -0.923463,0.47069
0.323, 2.74495, 2.5541,1.13258,6.68528, -0.922992,0.472076
0.324, 2.7475, 2.55523,1.12875,6.68436, -0.92252,0.47346
0.325, 2.75006, 2.55636,1.12492,6.68344, -0.922046,0.474844
0.326, 2.75261, 2.55748,1.12108,6.68252, -0.921572,0.476227
0.327, 2.75517, 2.55861,1.11725,6.68159, -0.921095,0.477609
0.328, 2.75773, 2.55972,1.11341,6.68067, -0.920618,0.478991
0.329, 2.76029, 2.56084,1.10957,6.67975, -0.920139,0.480372
0.33, 2.76285, 2.56195,1.10573,6.67883, -0.919658,0.481753
0.331, 2.76541, 2.56305,1.10188,6.67791, -0.919177,0.483132
0.332, 2.76797, 2.56415,1.09804,6.67699, -0.918694,0.484511
0.333, 2.77054, 2.56525,1.09419,6.67607, -0.918209,0.485888
0.334, 2.7731, 2.56635,1.09035,6.67516, -0.917723,0.487266
0.335, 2.77567, 2.56744,1.0865,6.67424, -0.917236,0.488643
0.336, 2.77824, 2.56852,1.08264,6.67332, -0.916747,0.490018
0.337, 2.78081, 2.5696,1.07879,6.6724, -0.916257,0.491394
0.338, 2.78338, 2.57068,1.07494,6.67149, -0.915766,0.492768
0.339, 2.78595, 2.57176,1.07108,6.67057, -0.915273,0.494142
0.34, 2.78852, 2.57283,1.06722,6.66966, -0.914779,0.495514
0.341, 2.79109, 2.5739,1.06336,6.66874, -0.914283,0.496887
0.342, 2.79366, 2.57496,1.0595,6.66783, -0.913787,0.498258
0.343, 2.79624, 2.57602,1.05564,6.66691, -0.913288,0.499628
0.344, 2.79882, 2.57708,1.05178,6.666, -0.912789,0.500999
0.345, 2.80139, 2.57813,1.04791,6.66509, -0.912288,0.502368
0.346, 2.80397, 2.57917,1.04404,6.66418, -0.911785,0.503736
0.347, 2.80655, 2.58022,1.04018,6.66326, -0.911282,0.505104
0.348, 2.80913, 2.58126,1.03631,6.66235, -0.910776,0.506471
0.349, 2.81171, 2.5823,1.03243,6.66144, -0.91027,0.507837
0.35, 2.81429, 2.58333,1.02856,6.66053, -0.909762,0.509203
0.351, 2.81688, 2.58436,1.02469,6.65962, -0.909253,0.510567
0.352, 2.81946, 2.58538,1.02081,6.65871, -0.908742,0.511931
0.353, 2.82205, 2.5864,1.01693,6.6578, -0.90823,0.513294
0.354, 2.82463, 2.58742,1.01305,6.6569, -0.907717,0.514657
0.355, 2.82722, 2.58843,1.00917,6.65599, -0.907202,0.516018
0.356, 2.82981, 2.58944,1.00529,6.65508, -0.906686,0.517379
0.357, 2.8324, 2.59045,1.0014,6.65417, -0.906169,0.518739
0.358, 2.83499, 2.59145,0.997517,6.65327, -0.90565,0.520098
0.359, 2.83758, 2.59245,0.99363,6.65236, -0.90513,0.521456
0.36, 2.84017, 2.59344,0.989741,6.65146, -0.904609,0.522814
0.361, 2.84277, 2.59443,0.985851,6.65055, -0.904086,0.524171
0.362, 2.84536, 2.59541,0.98196,6.64965, -0.903562,0.525527
0.363, 2.84796, 2.5964,0.978066,6.64874, -0.903036,0.526882
0.364, 2.85055, 2.59737,0.974172,6.64784, -0.902509,0.528237
0.365, 2.85315, 2.59835,0.970276,6.64694, -0.901981,0.529591
0.366, 2.85575, 2.59932,0.966378,6.64604, -0.901452,0.530944
0.367, 2.85835, 2.60029,0.962479,6.64514, -0.900921,0.532296
0.368, 2.86095, 2.60125,0.958579,6.64424, -0.900388,0.533647
0.369, 2.86355, 2.60221,0.954677,6.64333, -0.899855,0.534998
0.37, 2.86615, 2.60316,0.950774,6.64243, -0.89932,0.536348
0.371, 2.86875, 2.60411,0.946869,6.64154, -0.898783,0.537697
0.372, 2.87136, 2.60506,0.942963,6.64064, -0.898246,0.539045
0.373, 2.87396, 2.606,0.939055,6.63974, -0.897707,0.540392
0.374, 2.87657, 2.60694,0.935146,6.63884, -0.897166,0.541739
0.375, 2.87918, 2.60788,0.931236,6.63794, -0.896624,0.543084
