No iterations: 200
Time (s), Position 1 (m), Velocity 1 (m s-1), Acceleration 1 (m s-2), Position 2 (m), Velocity 2 (m s-1), Acceleration 2 (m s-2)
1.23, 0.799073, -0.172517,7.93228,2.20093, 0.172517,-7.93228
1.24, 0.797348, -0.093194,8.00039,2.20265, 0.093194,-8.00039
1.25, 0.796416, -0.0131901,8.03718,2.20358, 0.0131901,-8.03718
1.26, 0.796284, 0.0671817,8.04239,2.20372, -0.0671817,-8.04239
1.27, 0.796956, 0.147606,8.01586,2.20304, -0.147606,-8.01586
1.28, 0.798432, 0.227764,7.95759,2.20157, -0.227764,-7.95759
1.29, 0.80071, 0.30734,7.86767,2.19929, -0.30734,-7.86767
1.3, 0.803783, 0.386017,7.74634,2.19622, -0.386017,-7.74634
1.31, 0.807643, 0.46348,7.59395,2.19236, -0.46348,-7.59394
1.32, 0.812278, 0.53942,7.41097,2.18772, -0.53942,-7.41098
1.33, 0.817672, 0.613529,7.19802,2.18233, -0.613529,-7.19802
1.34, 0.823807, 0.68551,6.9558,2.17619, -0.68551,-6.9558
1.35, 0.830662, 0.755068,6.68518,2.16934, -0.755068,-6.68518
1.36, 0.838213, 0.821919,6.38709,2.16179, -0.821919,-6.38709
1.37, 0.846432, 0.88579,6.06261,2.15357, -0.88579,-6.06261
1.38, 0.85529, 0.946416,5.71291,2.14471, -0.946416,-5.71291
1.39, 0.864754, 1.00355,5.33928,2.13525, -1.00355,-5.33928
1.4, 0.87479, 1.05694,4.9431,2.12521, -1.05694,-4.9431
1.41, 0.885359, 1.10637,4.52583,2.11464, -1.10637,-4.52583
1.42, 0.896423, 1.15163,4.08906,2.10358, -1.15163,-4.08906
1.43, 0.907939, 1.19252,3.63442,2.09206, -1.19252,-3.63442
1.44, 0.919864, 1.22886,3.16363,2.08014, -1.22886,-3.16363
1.45, 0.932153, 1.2605,2.67849,2.06785, -1.2605,-2.67849
1.46, 0.944758, 1.28728,2.18087,2.05524, -1.28728,-2.18087
1.47, 0.957631, 1.30909,1.67267,2.04237, -1.30909,-1.67267
1.48, 0.970722, 1.32582,1.15586,2.02928, -1.32582,-1.15586
1.49, 0.98398, 1.33738,0.632447,2.01602, -1.33738,-0.632447
1.5, 0.997354, 1.3437,0.104469,2.00265, -1.3437,-0.104468
1.51, 1.01079, 1.34475,-0.426,1.98921, -1.34475,0.426
1.52, 1.02424, 1.34049,-0.956887,1.97576, -1.34049,0.956887
1.53, 1.03764, 1.33092,-1.48609,1.96236, -1.33092,1.48609
1.54, 1.05095, 1.31606,-2.01151,1.94905, -1.31606,2.01151
1.55, 1.06411, 1.29594,-2.53107,1.93589, -1.29594,2.53107
1.56, 1.07707, 1.27063,-3.04269,1.92293, -1.27063,3.04269
1.57, 1.08978, 1.2402,-3.54431,1.91022, -1.2402,3.54431
1.58, 1.10218, 1.20476,-4.03393,1.89782, -1.20476,4.03393
1.59, 1.11423, 1.16442,-4.50955,1.88577, -1.16442,4.50955
1.6, 1.12587, 1.11933,-4.96924,1.87413, -1.11933,4.96924
1.61, 1.13707, 1.06963,-5.41113,1.86293, -1.06963,5.41113
1.62, 1.14776, 1.01552,-5.83341,1.85224, -1.01552,5.83341
1.63, 1.15792, 0.957188,-6.23432,1.84208, -0.957188,6.23432
1.64, 1.16749, 0.894845,-6.61221,1.83251, -0.894845,6.61221
1.65, 1.17644, 0.828723,-6.96548,1.82356, -0.828723,6.96548
1.66, 1.18472, 0.759068,-7.29264,1.81528, -0.759068,7.29264
1.67, 1.19232, 0.686142,-7.59231,1.80768, -0.686142,7.59231
1.68, 1.19918, 0.610219,-7.86319,1.80082, -0.610219,7.86319
1.69, 1.20528, 0.531587,-8.10409,1.79472, -0.531587,8.10409
1.7, 1.21059, 0.450546,-8.31396,1.78941, -0.450546,8.31396
1.71, 1.2151, 0.367406,-8.49182,1.7849, -0.367406,8.49182
1.72, 1.21877, 0.282488,-8.63687,1.78123, -0.282488,8.63687
1.73, 1.2216, 0.196119,-8.74839,1.7784, -0.196119,8.74839
1.74, 1.22356, 0.108636,-8.82582,1.77644, -0.108636,8.82582
1.75, 1.22465, 0.0203774,-8.8687,1.77535, -0.0203774,8.8687
1.76, 1.22485, -0.0683097,-8.87675,1.77515, 0.0683097,8.87675
1.77, 1.22417, -0.157077,-8.84978,1.77583, 0.157077,8.84978
1.78, 1.2226, -0.245575,-8.78777,1.7774, 0.245575,8.78777
1.79, 1.22014, -0.333453,-8.69082,1.77986, 0.333453,8.69082
1.8, 1.21681, -0.420361,-8.55918,1.78319, 0.420361,8.55918
1.81, 1.2126, -0.505953,-8.39323,1.7874, 0.505953,8.39323
1.82, 1.20754, -0.589885,-8.19348,1.79246, 0.589885,8.19348
1.83, 1.20164, -0.67182,-7.96061,1.79836, 0.67182,7.96061
1.84, 1.19493, -0.751426,-7.69538,1.80507, 0.751426,7.69538
1.85, 1.18741, -0.82838,-7.39874,1.81259, 0.82838,7.39874
1.86, 1.17913, -0.902367,-7.0717,1.82087, 0.902367,7.0717
1.87, 1.1701, -0.973084,-6.71546,1.8299, 0.973084,6.71546
1.88, 1.16037, -1.04024,-6.3313,1.83963, 1.04024,6.3313
1.89, 1.14997, -1.10355,-5.92063,1.85003, 1.10355,5.92063
1.9, 1.13894, -1.16276,-5.48497,1.86106, 1.16276,5.48497
1.91, 1.12731, -1.21761,-5.02593,1.87269, 1.21761,5.02593
1.92, 1.11513, -1.26787,-4.54524,1.88487, 1.26787,4.54524
1.93, 1.10245, -1.31332,-4.04471,1.89755, 1.31332,4.04471
1.94, 1.08932, -1.35377,-3.52623,1.91068, 1.35377,3.52623
1.95, 1.07578, -1.38903,-2.99178,1.92422, 1.38903,2.99178
1.96, 1.06189, -1.41895,-2.44341,1.93811, 1.41895,2.44341
1.97, 1.0477, -1.44338,-1.88324,1.9523, 1.44338,1.88324
1.98, 1.03327, -1.46221,-1.31341,1.96673, 1.46221,1.31341
1.99, 1.01865, -1.47535,-0.736157,1.98135, 1.47535,0.736157
2, 1.00389, -1.48271,-0.153709,1.99611, 1.48271,0.153709
